;PRODUCTO;1519314740851;A010007;A010007 CINTA LED SMD CHIP 2216, 300LED/MT 2800-3000K IP20 30W 12V FONDO CAFÉ 10mm.;7.900
1;PRODUCTO;1535742290534;A010008;A010008 MANGUERA LED SMD CHIP 2835, 276LED/MT 6000K IP65 18W 220V FONDO BLANCO. SE VENDE POR ROLLO 50 METROS.;5.900
1;PRODUCTO;1535742324099;A010009;A010009 MANGUERA LED SMD CHIP 5050, 120LED/MT RGB IP65 18W 220V FONDO BLANCO. SE VENDE POR ROLLO 50 METROS.;7.900
1;PRODUCTO;1537984614911;A010010;A010010 CINTA LED SMD CHIP 2835, 60LED/MT 2800-3000K IP65 12W 12V FONDO CAFE 10mm. ROLLO 5 METROS. VERSIÓN NUEVA;4.500
1;PRODUCTO;1540308481124;A010011;A010011 MANGUERA LED SMD 2835 DOBLE LÍNEA 10W 2700K IP65 220V. CORTE CADA UN METRO. CADA 50 METROS INCLUYE CONECTOR;2.500
1;PRODUCTO;1540308505694;A010012;A010012 CONECTOR MANGUERA SMD DOBLE LÍNEA 220V;1.900
1;PRODUCTO;1544192661039;A010013;A010013 CONTROLADOR RGB ANÁLOGO 1500W 220V 9 ESCENAS;29.900
1;PRODUCTO;1547227415957;A010014;A010014 CONTROLADOR RGB DMX 512, 660 WATTS (110VAC) 1.320 WATTS (220V), AC 100-240V, 3*2A;69.900
1;PRODUCTO;1547653139702;A010015;A010015 MANGUERA LED SMD CHIP 2835, 276 LED / MT, 3.000°K, IP65, 18W, 220V, FONDO BLANCO ROLLO DE 50 MTS;5.900
1;PRODUCTO;1547653916618;A010016;A010016 CLIPS DE MONTAJE PARA MANGUERA LED;100
1;PRODUCTO;1547653959008;A010017;A010017 TAPA FINAL PARA MANGUERA LED;100
;PRODUCTO;1547654037250;A010018;A010018 CONECTOR INTERMEDIO PARA MANGUERA LED;990
1;PRODUCTO;1547654073533;A010019;A010019 CABLE DE PODER PARA MANGUERA LED (3.000°K - 6.000°K);2.900
1;PRODUCTO;1547654125775;A010020;A010020 CONTACTO DE 4 PINES PARA MANGUERA LED RGB;2.900
1;PRODUCTO;1574281189669;A010021;A010021 CONECTOR PARA MANGUERA LED 2 PINES 220V;2.380
1;PRODUCTO;1574363543412;A010022;A010022 CINTA LED SMD CHIP 5730, 60LED/MT 2800-3000K IP65 24W 12V 10mm. SE VENDE EN ROLLOS DE 5 METROS.;6.900
1;PRODUCTO;1585687531598;A010023;A010023 MANGUERA TIPO NEON LED 8W 6000k 2835SMD 120LED/MT 220V IP65;4.900
1;PRODUCTO;1585687981474;A010024;A010024 PERFIL PARA NEON LED;2.900
1;PRODUCTO;1591116957034;A010026;A010026 AMPLIFICADOR DE SEÑAL RGB 1500W 3CH X 3AMP 220V;19.900
1;PRODUCTO;1497289253585;A020016;A020016 PROYECTOR DE AREA LED 200W 5500ºK IP65 220V 120º TEKNICA LED;181.200
1;PRODUCTO;1501250784859;A020017;A020017 EMPOTRADO DE PISO EXTERIOR 3W 3000K IP65 220V UNA SALIDA DE LUZ.;24.900
1;PRODUCTO;1479838709733;A020019;A020019 MÓDULO LED PARA LUMINARIA CALLE 60W 6000K 5400Lm 90 LM/W 60° CRI>70 220V IP65 . DIÁMETRO 160 MM INCLUYE FUENTE DE PODER. TEKNICA LED;40.000
;PRODUCTO;1482956695542;A020024;A020024 EMPOTRADO DE PISO EXTERIOR 3W 3000K IP65 12V UNA SALIDA DE LUZ.;24.900
1;PRODUCTO;1488394156484;A030001;"A030001 PL LED 4"" 12W SMD EMPAVONADO 1080LM 3000K 120º 220V IP20";7.900
1;PRODUCTO;1488394184419;A030002;"A030002 PL LED 4"" 12W SMD EMPAVONADO 1080LM 4000K 120º 220V IP20";7.900
1;PRODUCTO;1488394215941;A030003;"A030003 PL LED 4"" 12W SMD EMPAVONADO 1080LM 5700K 120º 220V IP20";7.900
1;PRODUCTO;1488394248983;A030004;"A030004 PL LED 6"" 15W SMD EMPAVONADO 1650LM 3000K 120º 220V IP20";9.900
1;PRODUCTO;1488394278438;A030005;"A030005 PL LED 6"" 15W SMD EMPAVONADO 1650LM 4000K 120º 220V IP20";9.900
1;PRODUCTO;1488394308763;A030006;"A030006 PL LED 6"" 15W SMD EMPAVONADO 1650LM 5700K 120º 220V IP20";9.900
1;PRODUCTO;1488394377324;A030007;"A030007 PL LED 8"" 20W SMD EMPAVONADO 2280LM 3000K 120º 220V IP20";13.900
1;PRODUCTO;1488394409675;A030008;"A030008 PL LED 8"" 20W SMD EMPAVONADO 1800LM 4000K 120º 220V IP20";1.000
1;PRODUCTO;1488394441711;A030009;"A030009 PL LED 8"" 20W SMD EMPAVONADO 2280LM 5700K 120º 220V IP20";5.000
1;PRODUCTO;1488394500062;A030010;"A030010 PL LED 8"" 25W COB EMPAVONADO 2730LM 3000K 120º 220V IP20";14.900
;PRODUCTO;1488394531027;A030011;"A030011 PL LED 8"" 25W SMD EMPAVONADO 2250LM 4000K 120º 220V IP20";5.000
1;PRODUCTO;1488394556564;A030012;"A030012 PL LED 8"" 25W COB EMPAVONADO 2730LM 5700K 120º 220V IP20";3.000
1;PRODUCTO;1476469347;A030015;"A030015 PL ECO 8"" 20W 96LEDS SMD 4300K 2000LM FROST BISEL";8.000
1;PRODUCTO;1476911631;A030016;A030016 LUMINARIA EMPOTRADA RECTANGULAR 2x20W CHIP COB EPISTAR;30.900
1;PRODUCTO;1476911784;A030017;A030017 FOCO EMBUTIDO CODO 30W CHIP COB EPISTAR 60º 4000K;1.000
1;PRODUCTO;1476911818;A030018;A030018 AMPOLLETA PAR38 18W LED 4000K 1530LM 30° 220V E27;2.000
1;PRODUCTO;1476911865;A030019;"A030019 LUMINARIA EMPOTRADA TIPO PL 25W LED 4000K 8"" 220V";10.710
1;PRODUCTO;1526675493027;A040010;A040010 PERFIL DE ALUMINIO EN L 3MT;11.424
1;PRODUCTO;1508859535956;A050004;A050004 LUMINARIA TIPO APLIQUÉ MURO NEO METAL GRIS ORIENTABLE 1XE27 220V. NO INCLUYE AMPOLLETA.;34.900
1;PRODUCTO;1508859579521;A050005;A050005 LUMINARIA TIPO APLIQUÉ MURO NEO METAL NEGRO ORIENTABLE 1XE27 220V. NO INCLUYE AMPOLLETA.;26.900
